protein_id,molecular_weight,isoelectric_point,hydrophobicity,sequence_length,hydrophobic_aa_percent,charged_aa_percent,solubility,aa_A,aa_R,aa_N,aa_D,aa_C,aa_Q,aa_E,aa_G,aa_H,aa_I,aa_L,aa_K,aa_M,aa_F,aa_P,aa_S,aa_T,aa_W,aa_Y,aa_V
PROT_0743,71.72,7.21,1.786,675,30.65,26.96,0,6.38,7.63,3.77,8.94,1.48,3.44,4.26,1.48,9.32,2.52,3.03,6.13,7.8,8.21,2.49,1.24,3.38,9.11,8.0,1.4
PROT_0744,87.55,6.25,-0.958,188,25.18,25.16,1,6.85,7.76,0.96,4.26,2.07,2.07,6.85,3.05,7.48,1.28,6.98,6.29,7.75,2.79,7.5,4.33,6.69,1.6,7.76,5.68
PROT_0745,55.45,9.31,-0.873,340,34.75,23.48,1,6.71,5.32,7.28,7.75,1.21,3.52,4.88,4.85,7.71,1.98,5.9,5.53,3.37,7.35,1.31,1.99,5.31,6.83,5.2,5.98
PROT_0746,85.31,10.24,1.595,545,34.58,16.45,0,7.23,2.24,3.1,3.12,2.58,5.92,9.1,7.83,1.82,1.69,9.43,1.99,4.92,5.4,3.0,3.96,6.92,4.56,8.9,6.27
PROT_0747,41.23,7.9,-1.273,101,33.54,19.16,1,6.97,4.26,5.76,6.5,7.47,5.08,3.32,5.0,5.23,2.6,3.33,5.08,6.06,7.22,1.58,1.53,2.05,7.27,7.56,6.15
PROT_0748,67.73,7.63,0.034,674,35.45,14.3,0,7.82,2.11,1.81,2.32,6.38,6.43,3.0,8.0,3.99,8.63,8.23,6.87,0.91,5.25,2.48,8.78,3.27,4.47,8.2,1.05
PROT_0749,92.81,6.9,-0.928,543,30.43,21.18,1,1.05,4.93,7.84,1.04,4.16,6.8,7.51,6.82,1.56,7.52,3.64,7.7,4.79,3.16,6.97,2.51,4.61,6.59,2.32,8.47
PROT_0750,37.93,5.06,-0.729,760,38.71,25.82,1,4.82,7.45,2.23,3.87,2.18,4.36,8.2,3.79,1.6,7.57,2.02,6.3,5.63,8.54,2.16,3.27,1.5,8.52,8.77,7.24
PROT_0751,38.42,7.77,1.405,124,35.02,17.42,0,6.19,3.07,3.18,6.97,8.25,6.76,2.53,6.55,3.64,7.82,2.6,4.85,1.67,6.92,6.56,1.23,6.97,4.03,2.73,7.46
PROT_0752,57.15,10.26,-1.584,676,29.98,27.66,1,6.16,8.65,3.02,8.69,1.58,6.77,2.59,2.36,9.54,2.55,1.68,7.73,5.6,9.19,2.01,4.35,2.38,4.91,4.75,5.49
PROT_0753,57.18,10.62,-0.403,398,26.28,19.32,1,5.09,2.96,5.14,3.97,8.73,6.83,7.52,6.23,1.22,3.96,5.4,4.87,8.28,4.39,5.04,2.82,3.37,3.48,6.73,3.96
PROT_0754,111.29,7.98,1.447,194,23.97,22.13,0,2.32,5.51,2.42,4.1,2.94,7.27,8.32,5.51,2.58,1.88,2.96,4.2,1.76,3.98,7.28,6.48,9.14,2.26,8.5,10.57
PROT_0755,21.55,6.43,-1.213,245,30.15,21.07,1,4.66,5.81,2.12,6.98,5.6,5.65,5.8,5.5,5.11,6.11,5.0,2.48,6.78,1.05,2.65,4.35,4.17,6.79,6.86,6.54
PROT_0756,21.26,6.79,0.79,247,35.47,15.25,1,3.6,5.27,2.41,1.67,3.48,1.27,7.4,3.07,8.02,8.12,5.31,0.91,3.75,6.43,8.33,7.67,5.85,6.2,5.43,5.81
PROT_0757,93.75,9.38,-1.292,545,31.79,16.2,1,5.32,6.41,5.94,1.77,4.09,6.14,6.09,3.76,6.16,4.81,6.1,1.93,5.68,3.18,5.26,3.78,4.58,6.1,6.59,6.28
PROT_0758,65.07,8.96,1.057,797,25.62,15.65,0,3.01,5.56,9.02,1.84,9.09,2.52,6.49,7.56,2.62,2.82,6.03,1.76,5.46,5.19,9.07,3.86,2.5,7.11,7.03,1.46
PROT_0759,111.41,8.86,-0.591,687,33.37,21.42,0,4.13,8.04,4.83,1.65,1.23,6.92,6.67,7.48,2.22,5.96,8.35,5.06,7.73,7.38,2.86,1.49,1.91,5.73,8.53,1.82
PROT_0760,62.06,6.16,0.029,659,30.38,21.15,0,5.25,4.9,2.72,6.11,3.51,4.63,6.43,0.97,6.29,6.41,6.18,3.71,6.14,7.1,4.91,6.65,5.5,3.54,7.15,1.9
PROT_0761,17.27,4.03,1.127,548,29.57,19.0,0,3.5,2.58,2.95,4.2,5.75,6.74,6.54,7.68,5.31,5.53,4.28,5.68,1.95,5.61,4.11,8.46,3.2,6.74,5.27,3.91
PROT_0762,70.99,10.98,-0.828,678,27.09,17.31,1,6.26,4.78,5.26,6.25,7.55,3.1,3.04,8.36,2.39,5.65,4.83,3.24,4.1,2.78,7.46,4.95,5.82,2.49,6.63,5.08
PROT_0763,43.41,9.83,-0.566,186,38.92,16.72,1,1.32,3.8,1.15,6.78,7.33,5.93,4.79,1.15,10.19,2.17,9.46,1.35,4.83,10.16,1.42,4.84,6.29,9.6,1.22,6.21
PROT_0764,97.77,10.41,-1.811,297,28.85,20.69,1,0.94,8.29,5.74,2.52,6.51,1.28,4.98,6.52,5.47,2.92,5.92,4.9,7.92,7.17,1.82,3.85,9.18,2.92,2.18,8.98
PROT_0765,74.8,7.52,-0.081,99,33.94,17.69,1,5.69,5.99,6.27,3.7,5.06,7.06,5.09,5.44,0.92,7.77,3.37,2.91,4.82,6.32,2.18,3.96,4.7,6.88,7.93,3.91
PROT_0766,73.66,10.5,1.274,463,30.82,28.06,0,1.99,5.07,4.57,6.55,1.27,1.95,7.49,4.68,8.69,2.03,2.97,8.95,3.6,9.39,2.11,6.14,1.34,5.17,6.75,9.27
PROT_0767,18.09,7.49,-0.078,478,27.03,18.71,1,3.76,1.37,2.31,8.11,2.08,9.32,6.59,4.99,5.37,3.89,4.89,2.64,9.58,2.66,6.57,4.04,2.98,6.81,7.03,5.02
PROT_0768,92.81,6.76,0.634,173,22.39,22.74,0,5.59,6.82,3.74,6.07,6.1,3.75,1.78,8.02,2.94,2.88,1.0,8.07,9.26,3.42,7.2,2.82,2.38,8.06,8.66,1.44
PROT_0769,29.69,10.01,-1.594,198,39.89,23.93,1,7.99,6.84,2.67,6.84,1.95,8.3,4.65,4.12,2.93,5.79,6.47,5.6,5.12,6.33,3.32,3.35,2.24,5.99,2.16,7.32
PROT_0770,91.89,4.78,1.158,552,36.28,21.24,0,4.57,5.0,2.03,1.85,4.66,1.7,10.03,1.65,4.37,2.12,5.83,4.36,6.07,9.13,7.81,4.87,2.63,5.73,6.67,8.9
PROT_0771,117.94,6.99,-1.85,565,30.74,21.92,1,4.2,3.7,8.24,6.13,2.79,3.6,9.1,2.82,3.99,5.39,5.8,2.99,2.12,2.95,1.75,8.07,7.18,3.15,6.79,9.25
PROT_0772,99.61,7.58,-1.594,658,33.47,10.79,0,5.68,2.52,9.01,1.58,7.96,5.2,5.16,1.06,8.25,4.8,3.76,1.53,2.57,4.89,3.67,3.85,6.79,9.12,7.39,5.22
PROT_0773,42.51,10.34,-1.789,681,26.37,22.62,1,3.75,6.39,2.4,3.13,3.95,1.59,4.73,6.84,8.38,5.64,4.08,8.37,8.81,2.69,7.42,1.99,5.74,2.95,3.91,7.26
PROT_0774,92.29,7.6,0.067,714,35.59,10.99,0,7.02,1.41,1.49,1.61,7.12,4.55,3.42,1.29,10.25,9.51,8.01,4.55,2.08,1.98,7.11,7.81,4.05,4.02,7.68,5.05
PROT_0775,84.33,8.64,0.525,155,34.24,16.89,0,6.21,4.87,4.12,2.41,8.74,4.12,7.58,5.14,6.38,5.84,7.4,2.03,5.38,1.9,6.02,2.48,1.56,7.33,4.91,5.56
PROT_0776,69.95,4.58,0.904,733,32.6,21.55,0,3.12,4.96,5.71,7.75,4.28,1.47,0.95,3.34,5.26,3.12,8.19,7.89,7.02,6.86,6.89,2.41,4.62,7.49,4.83,3.82
PROT_0777,103.82,9.83,-0.219,670,29.96,22.06,0,2.39,4.58,6.44,7.16,1.68,1.44,2.66,8.18,4.5,4.85,2.88,7.66,5.13,7.45,1.0,6.76,5.73,7.29,7.12,5.1
PROT_0778,93.16,4.85,-1.035,678,19.64,23.7,0,3.73,2.01,7.54,8.03,5.4,2.57,6.98,1.55,7.29,3.29,4.77,6.68,6.71,4.46,6.67,6.82,6.05,2.37,6.08,1.02
PROT_0779,46.43,9.0,-1.174,151,25.02,23.22,1,0.95,8.39,5.05,7.56,8.59,3.28,5.94,3.34,1.82,6.54,1.2,1.33,5.04,7.35,7.12,7.58,6.49,1.21,3.44,7.77
PROT_0780,116.95,4.63,0.531,378,40.09,18.59,0,9.11,7.91,5.6,2.76,7.58,2.19,4.81,2.86,4.01,7.26,4.47,3.11,4.05,7.94,1.5,1.03,3.88,3.78,8.6,7.53
PROT_0781,31.63,8.16,1.987,745,24.99,14.69,0,6.6,1.67,3.78,4.22,4.13,5.91,5.77,3.98,7.65,1.93,4.17,3.03,9.07,6.16,6.55,8.07,8.68,4.95,2.49,1.18
PROT_0782,101.96,4.3,-0.507,207,33.02,14.58,1,4.12,3.59,2.85,2.28,1.53,7.26,2.9,7.34,6.28,1.48,7.94,5.81,6.38,8.46,3.43,7.93,3.52,7.77,5.9,3.25
PROT_0783,58.23,9.58,-0.326,491,35.72,25.11,1,3.35,7.51,1.26,6.73,3.63,4.19,6.68,3.57,2.74,10.83,11.0,4.19,4.14,4.27,2.54,9.68,3.81,4.79,3.61,1.48
PROT_0784,93.6,7.18,1.383,206,29.64,19.29,0,5.2,6.27,4.97,4.63,6.94,6.65,4.39,1.83,4.18,6.25,6.77,4.0,5.65,6.33,5.58,2.98,6.23,2.25,6.08,2.84
PROT_0785,64.34,8.56,-0.563,604,27.34,15.58,0,3.08,2.51,6.15,4.38,5.42,5.48,1.89,1.77,4.04,7.71,3.12,6.8,7.68,2.57,8.64,5.73,7.12,8.27,5.05,2.59
PROT_0786,116.84,10.47,-1.729,254,49.18,16.62,0,8.17,3.15,3.83,5.68,1.21,3.51,3.33,1.16,1.2,9.93,10.21,4.46,6.04,7.25,5.14,1.3,6.36,4.91,4.46,8.71
PROT_0787,65.69,8.31,-1.605,729,36.49,24.93,0,8.33,5.99,6.92,3.87,4.75,0.98,7.2,1.47,1.39,6.64,6.63,7.87,3.18,5.6,2.24,4.0,7.39,7.88,6.25,1.41
PROT_0788,85.71,5.21,-1.601,626,32.19,9.06,1,2.13,3.25,8.89,1.16,7.04,5.6,2.19,4.19,3.07,8.73,4.33,2.46,4.05,9.22,7.97,7.56,2.48,1.05,7.89,6.73
PROT_0789,74.98,5.38,1.834,677,25.83,24.18,0,1.59,2.96,4.82,5.3,7.8,3.18,5.72,2.54,4.98,7.86,2.74,10.2,2.56,1.43,6.89,8.69,3.39,9.8,5.13,2.41
PROT_0790,19.33,7.57,1.538,750,25.64,20.11,0,1.29,6.13,7.63,1.5,2.2,3.78,4.74,9.68,11.47,1.46,6.1,7.74,2.14,9.2,1.55,5.99,2.89,2.35,6.94,5.24
PROT_0791,101.63,9.32,-0.827,214,36.08,19.37,0,4.91,2.4,1.1,7.56,3.46,8.36,7.16,6.91,7.31,8.98,1.8,2.25,7.43,8.7,4.73,0.95,2.98,2.88,1.33,8.81
PROT_0792,59.17,8.38,-0.737,310,38.35,8.44,1,4.11,1.78,4.43,2.22,2.55,8.91,3.32,1.69,9.29,8.94,6.76,1.12,3.34,7.44,4.86,8.31,8.67,4.25,1.17,6.85
PROT_0793,24.55,9.64,0.162,494,35.5,23.91,1,4.87,1.59,4.83,7.79,6.97,1.13,9.07,2.05,8.88,7.86,3.94,5.46,1.87,1.24,1.82,5.75,1.86,8.93,5.43,8.66
PROT_0794,117.52,10.84,-1.562,113,26.35,25.53,1,3.03,5.48,4.94,4.01,4.51,4.12,7.56,8.34,6.0,1.82,4.39,8.48,7.78,4.67,2.9,4.33,1.03,6.57,4.2,5.87
PROT_0795,43.39,10.61,-1.844,241,34.53,22.23,1,3.36,7.98,2.02,4.57,1.29,4.29,7.07,7.3,8.71,7.34,8.78,2.61,6.0,7.02,1.99,2.57,3.65,2.85,5.43,5.18
PROT_0796,69.49,5.74,-0.833,492,26.45,29.29,1,3.73,11.98,5.8,4.29,3.32,9.19,1.34,1.97,3.09,9.51,6.71,11.68,2.89,1.4,11.28,1.25,3.55,3.66,1.91,1.44
PROT_0797,92.93,8.07,0.128,671,25.56,24.27,0,2.81,1.78,0.93,5.03,5.48,7.14,8.91,1.86,1.85,7.3,1.08,8.55,7.71,3.98,6.93,5.93,7.47,2.01,4.86,8.38
PROT_0798,38.01,7.04,1.561,330,36.66,17.82,0,4.76,6.9,1.3,1.0,7.55,3.73,5.45,7.95,1.61,8.05,8.51,4.47,9.26,4.16,1.26,1.12,5.9,7.94,5.84,3.24
PROT_0799,58.35,4.21,-0.713,668,29.16,13.74,1,1.73,1.85,8.88,3.84,6.91,5.96,4.29,3.31,5.47,7.78,9.6,3.76,9.69,2.68,3.32,8.57,1.1,4.24,3.89,3.13
PROT_0800,111.86,6.02,-1.995,480,32.48,15.95,0,6.52,3.63,9.22,3.54,4.74,5.09,7.61,1.9,6.09,3.48,6.95,1.17,2.3,8.11,9.4,7.36,2.42,2.29,3.07,5.13
PROT_0801,29.65,8.91,-1.571,198,28.33,15.03,1,1.14,3.59,7.84,4.77,6.28,7.98,4.54,7.07,3.69,8.5,4.1,2.13,8.18,3.58,4.44,0.94,1.56,5.74,8.67,5.27
PROT_0802,24.42,10.15,1.63,285,28.97,22.46,0,5.85,1.99,3.18,8.2,4.84,7.46,4.4,10.8,5.62,10.99,1.9,7.87,3.65,4.15,5.74,1.82,2.64,3.9,2.81,2.18
PROT_0803,106.91,8.59,1.575,530,25.35,22.23,0,5.31,8.61,5.77,1.41,1.57,1.1,7.94,8.27,6.46,0.96,6.62,4.27,3.41,8.34,6.91,6.58,8.48,2.89,3.86,1.23
PROT_0804,32.75,10.58,1.027,775,37.04,22.66,0,9.36,8.21,3.5,7.98,1.16,6.25,3.78,1.01,5.2,7.28,6.28,2.69,7.18,5.14,2.22,2.95,5.7,4.54,5.13,4.44
PROT_0805,68.62,9.91,1.16,380,34.04,20.35,0,6.49,5.4,2.04,3.91,0.8,3.49,3.67,6.38,7.25,7.23,6.2,7.37,6.7,2.68,1.3,7.19,6.86,6.89,3.6,4.55
PROT_0806,94.16,7.83,1.79,234,28.39,18.48,0,5.36,1.78,2.51,1.59,2.96,1.17,4.86,9.68,8.51,3.84,6.28,10.25,10.06,2.2,3.94,3.55,2.97,1.53,7.77,9.18
PROT_0807,30.41,5.74,1.429,519,25.2,22.77,0,3.71,6.21,7.92,5.94,7.16,2.28,3.05,7.44,1.06,4.24,6.66,7.57,6.26,1.65,1.95,6.49,6.01,7.35,5.46,1.59
PROT_0808,100.59,6.6,-1.216,365,26.94,14.09,1,4.63,4.97,7.73,4.42,10.92,6.8,3.21,1.95,6.96,7.73,5.88,1.49,5.72,4.11,9.81,5.08,2.32,2.35,1.72,2.24
PROT_0809,61.91,9.8,0.492,130,33.58,13.55,0,7.76,2.53,8.28,1.95,4.36,3.59,7.27,5.43,0.98,8.98,5.16,1.8,7.15,8.36,4.22,9.34,2.67,1.48,6.88,1.84
PROT_0810,113.69,8.79,0.467,132,29.24,12.11,1,1.6,3.1,8.39,2.57,8.24,4.69,1.82,1.74,6.4,6.87,5.6,4.62,6.1,4.21,7.13,1.73,5.93,3.99,8.3,6.97
PROT_0811,69.87,4.02,-1.45,559,29.24,18.38,1,5.28,1.79,6.48,8.16,6.37,7.96,3.75,4.06,1.03,1.98,2.71,4.68,2.85,5.47,6.97,1.14,8.82,5.71,6.71,8.09
PROT_0812,50.58,5.59,-0.21,509,32.03,28.64,1,6.77,6.42,4.5,8.2,1.68,1.08,6.22,1.73,5.64,8.44,2.06,7.8,6.12,7.69,5.43,8.53,2.81,4.67,1.8,2.4
PROT_0813,101.55,6.73,-1.848,473,34.41,21.49,1,7.28,7.56,0.88,6.8,4.92,5.87,6.19,3.57,3.46,7.31,4.57,0.94,5.7,5.83,3.02,6.8,1.84,7.38,8.04,2.04
PROT_0814,27.12,6.85,-0.807,228,32.05,14.33,1,6.25,3.95,3.71,4.54,4.08,4.67,4.0,4.43,6.36,1.42,5.85,1.84,5.52,8.76,8.35,6.47,8.41,8.44,1.61,1.33
PROT_0815,17.48,6.11,-1.571,515,26.56,22.61,1,1.94,6.23,1.27,3.25,1.66,11.08,9.73,6.67,3.89,9.4,4.14,3.4,9.05,2.35,6.84,3.51,2.61,6.87,4.25,1.86
PROT_0816,24.53,4.02,-1.932,201,33.33,25.5,1,7.16,1.44,0.98,7.54,1.23,1.65,7.96,3.8,6.46,6.81,6.42,8.56,6.3,4.01,7.04,2.66,7.62,5.65,3.43,3.28
PROT_0817,39.59,6.6,0.251,598,32.71,15.57,0,7.48,3.89,6.43,1.95,4.51,6.72,6.57,7.07,1.71,4.27,4.85,3.16,6.4,7.13,1.81,6.44,7.43,7.45,3.22,1.53
PROT_0818,25.68,7.22,-1.755,592,25.58,24.02,1,4.29,3.51,4.62,9.95,1.49,7.42,6.73,2.58,8.01,1.23,3.86,3.83,8.24,9.04,4.56,3.71,8.38,5.49,1.4,1.67
PROT_0819,85.53,6.68,-1.352,256,25.79,23.22,1,2.02,4.28,3.23,6.59,5.55,6.49,2.94,6.69,1.49,1.8,3.7,9.41,5.53,7.66,8.63,3.52,1.59,3.56,8.27,7.05
PROT_0820,36.87,7.84,1.683,567,32.27,16.43,0,2.66,6.19,5.71,3.69,1.86,4.03,4.78,6.78,7.95,4.02,3.87,1.77,3.99,7.2,5.7,1.83,7.58,6.96,5.87,7.56
PROT_0821,15.63,9.52,0.749,698,35.56,21.65,0,6.47,3.78,1.91,8.09,4.37,4.96,4.72,1.32,8.11,6.49,7.32,5.06,8.44,8.9,5.66,2.78,1.36,3.59,3.88,2.79
PROT_0822,23.08,8.93,-1.89,619,28.89,22.52,1,4.83,5.68,7.04,8.81,3.62,7.96,4.46,3.04,0.99,2.5,6.33,3.57,4.63,7.0,5.04,8.19,5.04,3.71,3.02,4.52
PROT_0823,32.26,9.46,-1.37,636,30.46,11.79,1,2.28,2.57,2.83,4.53,8.36,4.99,2.8,1.51,2.53,9.3,2.28,1.89,7.69,8.35,8.3,6.72,5.3,6.33,9.52,1.92
PROT_0824,108.5,5.29,-0.41,587,28.84,21.55,0,1.6,2.69,4.71,4.89,2.44,3.45,7.46,6.72,7.57,0.84,4.94,6.51,2.12,7.17,6.09,7.85,7.77,6.43,0.89,7.86
PROT_0825,111.27,6.64,-1.104,195,22.58,22.51,1,1.23,4.71,7.02,4.02,7.13,6.24,7.4,6.57,1.37,7.42,3.99,6.38,7.16,5.71,7.54,2.88,2.22,2.12,6.78,2.11
PROT_0826,28.36,8.91,1.965,585,30.33,15.73,0,2.15,3.09,4.4,8.64,8.14,0.92,2.64,5.34,6.76,6.87,3.46,1.36,7.86,5.76,5.74,8.7,3.46,6.42,2.62,5.67
PROT_0827,76.75,5.85,0.996,680,32.98,10.08,0,5.83,1.77,8.99,2.05,4.46,4.11,1.42,9.71,6.03,4.83,2.12,4.84,4.75,4.53,3.95,2.53,8.71,5.94,3.71,9.73
PROT_0828,109.93,9.44,1.778,323,30.59,21.06,0,1.13,7.01,5.18,5.52,3.47,0.96,7.22,9.29,7.27,8.05,1.12,1.31,1.02,6.94,1.8,9.0,8.03,5.93,2.33,7.42
PROT_0829,38.76,6.36,-0.686,779,34.04,13.89,1,1.38,3.56,6.57,1.4,3.23,9.71,4.42,2.92,3.05,1.13,2.68,4.51,1.46,8.85,9.78,8.81,4.38,10.43,2.16,9.57
PROT_0830,82.74,4.86,1.327,355,21.44,22.98,0,3.15,4.82,5.75,6.21,6.27,7.53,2.98,2.85,8.28,2.84,2.55,8.97,4.72,2.56,5.02,1.11,6.06,4.28,8.01,6.06
PROT_0831,77.51,10.07,0.564,659,21.53,27.29,0,1.69,8.31,1.41,7.47,7.23,4.23,8.54,6.06,6.09,8.91,1.92,2.97,5.09,2.59,4.97,3.52,4.05,2.27,8.53,4.15
PROT_0832,110.1,8.91,1.561,515,30.84,16.8,0,8.93,4.0,9.68,1.84,2.15,4.47,1.65,3.0,5.23,3.03,4.51,9.31,8.52,3.4,3.79,6.87,5.47,9.08,3.2,1.89
PROT_0833,76.1,4.74,-1.049,130,23.93,26.97,1,5.0,7.84,1.23,6.09,2.41,7.62,5.75,3.39,8.81,3.41,2.7,7.29,1.55,7.17,8.68,4.16,3.83,3.41,7.42,2.24
PROT_0834,112.41,4.05,1.087,574,34.05,17.98,0,7.88,4.88,5.75,6.13,3.05,5.87,1.95,6.58,2.97,1.98,8.86,5.02,2.84,7.61,6.05,6.44,6.64,5.33,1.81,2.39
PROT_0835,81.84,9.5,-0.563,619,18.51,24.73,1,1.2,4.75,3.88,5.4,8.44,7.81,6.84,5.51,8.64,4.26,1.62,7.74,8.29,2.18,4.55,5.15,3.16,4.28,1.33,4.97
PROT_0836,97.5,6.74,0.222,256,28.17,22.5,0,2.34,6.55,2.18,6.83,6.25,6.34,4.54,3.98,2.18,6.56,2.91,4.58,5.93,6.86,3.65,7.98,7.51,5.77,3.32,3.73
PROT_0837,24.15,7.99,-1.3,91,31.95,16.05,1,9.35,1.14,2.07,2.81,8.01,7.38,7.12,2.66,9.47,3.92,2.7,4.98,6.67,3.46,2.78,1.18,9.17,2.67,2.61,9.85
PROT_0838,92.42,4.59,-1.122,459,24.15,29.0,1,6.31,6.75,4.45,8.3,4.88,2.16,4.49,3.29,8.3,4.0,8.37,9.46,4.16,2.69,1.57,8.34,6.68,1.14,3.02,1.64
PROT_0839,64.77,7.05,-1.481,368,33.33,19.22,1,5.65,2.51,2.36,8.24,1.78,9.23,2.9,8.38,7.01,4.62,1.15,5.57,4.98,6.7,3.75,3.41,1.93,6.93,4.6,8.28
PROT_0840,89.82,10.75,-0.801,284,34.08,14.19,1,7.29,7.33,4.14,1.12,3.88,5.11,2.77,4.76,4.94,4.77,2.29,2.97,1.98,9.73,8.87,7.99,2.01,6.71,8.04,3.29
PROT_0841,44.13,7.0,-1.722,415,19.11,15.05,1,1.88,4.12,9.06,3.57,9.2,2.76,2.6,5.2,9.01,5.68,5.26,4.76,9.22,1.28,8.69,2.86,3.24,3.61,6.58,1.4
PROT_0842,35.62,9.77,0.29,539,19.26,22.99,1,2.2,6.89,1.36,2.06,9.97,7.61,7.04,2.95,8.42,1.59,2.92,7.0,5.8,3.94,3.94,9.17,2.91,3.96,5.62,4.65
PROT_0843,106.81,8.38,-0.748,354,35.44,14.5,0,7.93,1.11,4.28,3.68,5.89,7.79,4.45,7.93,4.81,6.18,3.57,5.26,2.81,4.96,7.43,1.59,1.12,9.72,6.43,3.08
PROT_0844,37.29,4.36,0.911,164,26.27,18.29,1,1.82,7.53,3.11,8.02,6.43,8.51,1.29,8.02,5.29,1.7,7.04,1.45,5.39,6.82,4.69,1.84,3.0,5.54,9.15,3.35
PROT_0845,74.98,10.57,-1.403,566,29.83,22.0,1,5.57,6.15,6.93,2.98,3.4,6.49,6.19,1.56,6.37,5.58,3.32,6.68,6.53,5.76,3.09,2.63,5.19,4.07,5.98,5.53
PROT_0846,37.18,6.77,0.578,761,19.56,25.83,0,2.51,8.6,1.1,5.66,4.02,7.29,6.86,8.55,4.47,3.62,3.13,4.71,8.95,1.3,9.11,3.06,3.24,3.41,4.83,5.59
PROT_0847,86.01,9.66,-1.813,562,32.42,19.49,1,1.01,3.92,6.18,7.6,1.76,7.94,2.24,2.24,3.97,7.37,7.78,5.73,6.75,5.52,6.71,4.28,5.77,4.12,2.5,6.62
PROT_0848,42.55,10.0,-0.31,796,26.31,18.28,0,5.07,2.34,5.86,2.08,4.64,5.4,7.11,6.43,8.14,1.0,7.08,6.75,5.55,7.11,7.08,5.54,5.06,1.85,1.7,4.2
PROT_0849,74.5,7.76,-1.361,202,34.4,15.28,1,5.47,4.27,6.96,1.17,4.19,2.48,1.44,1.51,7.29,5.75,8.95,8.4,1.05,2.52,7.68,5.77,7.32,5.17,6.06,6.54
PROT_0850,117.11,4.61,1.084,414,29.79,17.95,0,2.06,6.31,8.36,6.83,6.86,2.67,1.56,6.59,8.02,5.01,7.24,3.25,2.9,4.01,3.13,1.1,6.43,5.45,6.19,6.02
PROT_0851,68.83,9.43,0.635,331,28.39,19.18,0,6.08,5.72,6.12,1.71,3.58,5.16,8.31,4.27,8.42,5.41,1.33,3.44,4.95,2.29,3.65,8.44,4.89,8.15,2.92,5.13
PROT_0852,25.81,8.55,-0.99,674,29.45,22.88,1,5.94,6.57,5.91,6.85,1.37,6.14,1.64,4.28,7.13,0.86,5.47,7.82,2.81,2.44,1.65,7.3,4.69,7.16,6.39,7.58
PROT_0853,21.89,5.12,-1.399,249,35.93,23.02,1,6.23,8.19,6.19,1.65,0.91,8.5,7.17,1.83,1.34,5.75,2.16,6.01,1.24,8.02,2.55,5.05,5.27,5.09,8.17,8.68
PROT_0854,59.41,8.15,-1.551,694,22.73,20.13,1,8.19,5.12,5.91,6.83,7.32,7.39,3.39,8.2,5.98,1.01,2.0,4.79,5.35,3.49,5.24,5.83,4.48,3.0,1.44,5.04
PROT_0855,83.35,8.49,-0.664,614,31.67,16.94,1,8.44,2.46,5.08,4.38,1.1,1.25,2.13,1.11,6.41,4.94,6.5,7.97,9.62,4.63,6.82,8.65,3.41,2.87,7.96,4.29
PROT_0856,74.84,6.84,1.265,140,32.49,18.79,0,8.04,5.14,1.01,2.5,7.31,3.51,6.67,6.63,3.53,6.63,4.18,4.48,1.12,1.74,8.95,9.21,4.91,3.1,2.53,8.8
PROT_0857,16.71,5.7,-0.4,798,24.83,13.45,1,5.49,5.79,4.26,1.85,6.59,2.69,3.27,7.28,7.63,3.19,3.53,2.54,6.67,2.79,6.59,6.18,7.05,6.86,6.78,2.97
PROT_0858,44.79,4.52,-0.509,397,31.89,20.29,1,7.39,7.84,5.11,1.79,7.65,5.29,8.61,2.79,3.73,8.15,3.97,2.05,2.4,1.85,4.19,3.82,7.13,5.56,5.72,4.97
PROT_0859,51.2,8.27,0.36,695,27.29,26.01,1,6.72,7.81,7.0,5.63,2.07,6.22,7.69,2.15,4.6,2.14,7.76,4.88,1.74,3.58,3.69,7.8,7.67,4.92,3.76,2.17
PROT_0860,69.94,10.07,-0.994,702,31.88,21.19,0,7.58,5.68,6.89,7.33,6.87,2.92,3.51,5.4,4.78,8.81,5.42,4.67,4.93,5.87,3.93,7.25,1.0,1.89,2.97,2.31
PROT_0861,92.83,8.63,1.412,371,35.72,16.0,0,1.76,2.66,5.45,2.57,7.47,1.67,9.4,4.38,1.2,8.6,3.42,1.37,9.3,6.91,8.88,2.2,6.21,7.32,1.52,7.71
PROT_0862,16.19,8.35,0.838,234,28.42,12.27,1,8.76,1.52,3.44,1.07,5.25,5.74,3.62,8.47,7.99,4.86,1.21,6.06,4.57,3.67,6.55,3.42,7.14,6.51,6.76,3.41
PROT_0863,105.02,6.82,-1.473,84,34.57,11.58,0,4.15,2.27,6.21,0.94,6.88,7.28,3.55,6.94,1.41,6.95,4.41,4.82,1.56,6.91,6.93,6.19,4.33,7.14,6.11,5.01
PROT_0864,89.64,6.23,1.857,752,34.32,18.73,0,4.57,3.71,5.77,0.89,5.67,4.06,8.18,4.23,3.47,4.62,6.78,5.95,6.59,8.39,3.13,7.48,3.28,7.08,3.27,2.88
PROT_0865,90.83,8.14,0.063,278,37.19,15.13,0,5.06,6.22,8.2,1.77,1.39,5.13,2.62,2.39,5.18,9.23,1.48,4.52,7.41,7.44,2.48,1.33,6.87,8.05,7.29,5.93
PROT_0866,102.88,6.89,-1.695,702,23.31,17.97,0,4.43,2.33,6.54,7.15,7.47,3.27,7.43,3.08,5.58,6.91,4.69,1.06,6.68,5.01,7.58,6.87,3.31,1.37,8.37,0.9
